Autostart, Avvio automatico
that is at least 10 char long and contains uncommon words:, deve essere lunga almeno 10 caratteri e contenere parole non comuni:
to get server status, per ottenere lo stato del server
threads, threads
Tuesday, Martedì
Thursday, Giovedì
Time, Ora
Time is disabled for minute and hour values, L'ora è disabilitata per se l'intervallo è impostato su minuti o ore.
The credentials are:, Le credenziali sono:
The users new password is:, La nuova password per l'utente è:
Testing, Tester
Username, Username:
Unable to connect, Impossibile collegarsi
Users, Utenti
users defined, utenti definiti
Update Jar, Aggiorna Jar
Update Server Jar, Aggiorna Jar del server
Up, Su
Username:, Username:
Version Update Checker, Gestore Aggiornamenti
Version, Versione
Virtual Console for server:, Console Virtuale per server:
Virtual Console, Console Virtuale
What do you call this server? (example: CraftySurvival), Come si chiama questo server? (esempio: CraftySurvival)
What folder is your server in? (example: C:\minecraft\server), In quale cartella si trova il tuo server? (esempio: C:\minecraft\server)
What is your jar filename? (example: paper.jar), Qual'è il nome del tuo file jar? (esempio: paper.jar)
Webserver Port, Porta del serverweb
World Name, Nome del mondo
World Size, Dimensione del mondo
Warning, Attenzione
Wednesday, Mercoledì
You can not rename servers at this time, Non puoi rinominare i server in questo momento
Yes - Start the Minecraft Server on program launch., Si - Avvia il server di minecraft all avvio del programma.
Yes - If the server stops, Si - Se il server si ferma
Your Current Config, Configurazione Attuale
Your API Key:, La tua chiave API:
You have, Tu hai
you have, tu hai
Your backups are stored in:, I tuoi backup sono salvati in:
You are backing up these paths:, Stai facendo il backup dei seguenti percorsi:
You are here, Tu sei qui
Yes, Si
5 Questions and a checkbox until you're done, Mancano 5 domande prima di finire
