Autostart, Autoinicio
Extra Arguments, Argumentos Extra
Example: , Ejemplo: 
Enabled, Habilitado
entries, entradas
Example: 2048, Ejemplo: 2048
Example: 1014, Ejemplo: 1024
Example /var/opt/minecraft/server, Ejemplo /var/opt/minecraft/server
Example paper.jar, Ejemplo paper.jar
Example Survival Server, Ejemplo Servidor Survival
Enter you server command, Escribe tu commando para el servidor
Existing Backups, Copias de Seguridad Existentes
Enter Your Search String, Escribe el Texto Que Buscas
Enter your server command, Escribe tu comando de servidor
Example: 2048 - Currently, Ejemplo: 2048 - Actualmente
Example: 1024 - Currently, Ejemplo: 1024 - Actualmente
Example c:\minecraft\server, Ejemplo c:\minecraft\server
Enter the New Users Username, Escribe el Nombre de Usuario del Nuevo Usuario
Enter the New Password for, Escribe la Nueva Contraseña para
Files, Archivos
FTP User, Usuario FTP
FTP Password, Contraseña FTP
FTP Port, Puerto FTP
False, Falso
Friday, Viernes
File Management, Gestión de Archivos
File, Archivo
FTP Server Control: Server is currently, Control del Servidor FTP: El Servidor Actualmente Está:
Getting Version Data, Obteniendo Datos de Versión
Host CPU, CPU Utilizada
Host RAM, RAM Utilizada
Host Root Disk, Disco Utilizado
HOST TOTAL CPU USAGE, USO TOTAL DE CPU
HOST TOTAL RAM USAGE, USO TOTAL DE RAM
HOST TOTAL DISK USAGE, USO TOTAL DE DISCO
Home, Inicio
Has no effect if auto start is turned off (Example: 10), No tiene ningún efecto si el auto inicio está apagado (Ejemplo: 10)
https://example.com/latest/server.jar, https://ejemplo.com/último/server.jar
Highest Priority, Prioridad Alta
Historical Data Capture Interval, Intervalo de Captura de Datos Historicos
How many minutes between historical data capture, Cuantos minutos entre capturas de datos historicos
Historical Data Length, Longitud de Datos Historicos
How many days should we keep historical data, Cuantos dias deberiamos mantener los datos historicos
Historical Data will be captured every, Los Datos Historicos serán capturados cada
Historical Data, Datos Historicos
How Often, Cada Cuanto?
Hours, Horas
installed, installada
I want crafty to automatically restart the server, quiero que Craft lo reinicie automaticamente
I demand to see the things!, Yo quiero ver las cosas!
Invalid Settings Detected: Server Path Does Not Exists, Opciones Invalidas Detectadas: La Rutas Del Servidor No Existe
Invalid Settings Detected:, Opciones Invalidas Detectadas:
I don't know... Have you checked the logs?, No se... Has revisado los registros?
Issue Command, Emitir un Comando
Interval Type, Intervalo de Tiempo
It's like a bot, Es como un bot
Join The Discord, Unete Al Discord
Jar Update URL, URL de Actualización de Jar
Keys to a good password, Claves para un buena contraseña
Lowest Priority, Prioridad Baja
Logs for Server:, Registros del Servidor:
Logs, Registros
Latest Errors, Últimos Errores
Latest Warnings, Últimos Avisos
Line, Linea
Memory, Memoria
MAIN NAVIGATION, MENÚ PRINCIPAL
Medium Priority, Prioridad Media
minutes, minutos
Minecraft Server Config, Configuración de Servidor de Minecraft
Maximum Memory To Use in MB? (example: 2048), Memoria Máxima A Utilizar en MB? (ejemplo: 2048)
Minimum Memory To Use in MB? (example: 1024), Memoria Mínima A Utilizar en MB? (ejemplo: 1024)
My New Server, Mi Servidor Nuevo
Missing Data below?, Echas en Falta Datos Debajo?
Minutes, Minutos
Monday, Lunes
Max Memory, Memoria Máxima
Min Memory, Memoria Mínima
MyFirstServer, MiPrimerServidor
Mod, Moderador
No - I will start the server myself., No - Iniciaré el servidor de minecraft por mi mismo.
No effect if auto start is not enabled, No tiene ningún efecto si el auto inicio no está habilitado
No - I will start the server myself if it crashes., No - Iniciaré el servidor por mi mismo si este falla.
Note the Admin can not be deleted or changed, Ten en cuenta que el Administrador no puede ser ni borrado ni cambiado
Next, Siguiente
Not Started, No Iniciado
NOT, NO
No update jar URL specified., URL de actualización de jar especificada.
No Players Online, No Hay Jugadores Conectados
Note: this page doesn't auto-refresh, Ten en Cuenta: esta pagina no se auto-refresca
No data available in table, No hay datos disponibles en la tabla
Next, Siguiente
New Scheduled Action, Nueva Acción Programada
on port, al puerto
only better, solo que mejor
Password, Contraseña
Players, Jugadores
Players:, Jugadores:
Pre Arguments, Argumentos Previos
Previous, Previo
Please add in, Por favor añadela en
Path, Ruta
Password:, Contraseña:
Port:, Puerto:
Permissions, Permisos
Page Cannot Be Displayed, No Se Puede Mostrar La Pagina
Running, Funcionando
Reload MC Settings, Recargar Opciones MC
Reload Web Server, Recargar el Servidor Web
Revert Jar Update, Revertir la Actualización de Jar
Restart Server, Reiniciar el Servidor
Role, Rol
Role:, Rol:
Sign In,Iniciar sesión
Sign in to manage your server,Inicie sesión para administrar su servidor
Server Status, Estado del servidor
Server Down, Servidor caido
Server, Servidor
Server Defined, Servidores en Funcionamiento
Status, Estatus
Stopped, Parado
Server Start Time, Hora Inicio Servidor
Server Type, Tipo de Servidor
Server Description, Descripción del Servidor
Server IP : Server Port, IP Servidor : Puerto Servidor
Server IP, IP Servidor
Server Port, Puerto Servidor
Server Configuration, Configuración del Servidor
Server Config, Configuración del Servidor
server config, configuración del servidor
Server Name, Nombre del Servidor
Server Path, Ruta del Servidor
Server Jar, Jar del Servidor
Server Max Memory, Memoria Máxima del Servidor
Server Max Memory in MB, Memoria Máxima del Servidor en MB
Server Min Memory, Memoria Mínima del Servidor
Server Min Memory in MB, Memoria Mínima del Servidor en MB
Server Jar Update URL - This is where you define where to update the jar from., URL de Actualización del Jar del Servidor - Aquí es donde defines desde donde actualizar el jar.
Save, Guardar
Show, Muestra
Set Password, Establecer Contraseña
Search:, Buscar:
set to autostart, tiene autoinicio habilitado
Server Data, Datos del Servidor
Server Actions, Acciones del Servidor
Start New World, Empezar un Mundo Nuevo
Server Details, Detalles del Servidor
Server Control, Control del Servidor
Sometimes you just need a terminal, A veces solo necesitas un terminal
Stop Auto-Scrolling, Para de Auto-desplazar
Send Command, Enviar Comando
Server Backups, Copias de Seguridad del Servidor
Server Backup, Copia de Seguridad del Servidor
Show, Muestra
Size, Tamaño
Search Latest.log, Busca en Latest.log
Scheduled Tasks, Tareas Programadas
Select Your Action, Selecciona Tu Acción
Start Server, Inicia el Servidor
Stop Server, Apaga el Servidor
Saturday, Sabado
Sunday, Domingo
Scheduled Actions, Acciones Programadas
Start FTP Server, encender el Servidor FTP
Stop FTP Server, Apagar el Servidor FTP
Server Jar Here, El Jar del Servidor Aquí
Server Path Here, La Ruta al Servidor Aquí
Save and Finish, Guardar y Terminar
Server Console, Consola del Servidor
Server Logs, Registros del Servidor
Server Schedule, Programación del Servidor
Sign out, Desconectar
Select the new role for, Slecciona el nuevo rol para
Staff, Personal
Tasks, Tareas
Turn On Crash Detection?, Habilitar Detección de fallos?
This will detect server crashes and restart them, Esto detectará cuando el servidor falle y lo reiniciará
The server will be launched using this string:, El servidor se iniciará utilizando este texto:
The server is, Este servidor
This can should be unique to the FTP service, Esto deberia ser unico para el servidor FTP
This should be at least 8 letters long - maybe 15 characters, Esto deberia ser de al menos 8 caracteres de largo - quizá 15 caracteres
Type your new password, Teclea tu nueva contraseña
that is at least 10 char long and contains uncommon words:, que sea de almenos 10 caracteres de largo y contiene palabras poco comunes:
to get server status, para obtener el estado del servidor
threads, hilos
Tuesday, Martes
Thursday, jueves
Time, Tiempo
Time is disabled for minute and hour values, El Tiempo está deshabilitado para valores de minutos y horas
The credentials are:, Las Credenciales Son:
The users new password is:, La Contraseña del Nuevo Usuario es:
Testing, Testeo
Username, Nombre de usuario
Unable to connect, Incapaz de conectar
Users, Usuarios
users defined, usuarios definidos
Update Jar, Actualizar Jar
Update Server Jar, Actualizar el Jar del Servidor
Up, Encendido
Username:, Nombre de Usuario:
Version Update Checker, Verificador de Versión
Version, Versión
Virtual Console for server:, Consola Virtual para el servidor:
Virtual Console, Consola Virtual
What do you call this server? (example: CraftySurvival), Como llamas a este servidor? (ejemplo: CraftySurvival)
What folder is your server in? (example: C:\minecraft\server), En que carpeta está tu servidor? (ejemplo: C\minecraft\server)
What is your jar filename? (example: paper.jar), Cuál es el nombre del archivo jar? (ejemplo: paper.jar)
Webserver Port, Puerto del Servidor Web
World Name, Nombre del Mundo
World Size, Tamaño del Mundo
Warning, Aviso
Wednesday, Miercoles
You can not rename servers at this time, No Puedes Renombrar Servidores Actualmente
Yes - Start the Minecraft Server on program launch., Si - Inicia el Servidor Minecraft al Iniciar Crafty.
Yes - If the server stops, Si - Si el servidor se para
Your Current Config, Tu Configuración Actual
Your API Key:, Tu llave API:
You have, Tienes
you have, tienes
Your backups are stored in:, Tus Copias de Seguridad están almacenadas en:
You are backing up these paths:, Estás haciendo copia de seguridad de estas rutas:
You are here, Tu estás aquí
Yes, Si
5 Questions and a checkbox until you're done, 5 Preguntas y una casilla de confirmación y estará todo listo
